# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Hot2Cold/nanoSIMS_September_2021/20210908_std2_5/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12
# plane	POL=2		POL=2		POL=5		POL=5		POL=5		POL=2		POL=4		POL=4		POL=2		POL=4		POL=4		POL=5	
1	5.146e+03	7.174e+01	5.398e+04	2.323e+02	4.440e+04	2.107e+02	6.054e+04	2.460e+02	5.758e+04	2.400e+02	5.084e+04	2.255e+02	4.261e+04	2.064e+02	7.269e+04	2.696e+02	6.734e+04	2.595e+02	6.154e+04	2.481e+02	5.085e+04	2.255e+02	6.492e+04	2.548e+02
2	5.371e+03	7.329e+01	5.610e+04	2.369e+02	4.595e+04	2.144e+02	6.356e+04	2.521e+02	5.917e+04	2.433e+02	5.282e+04	2.298e+02	4.318e+04	2.078e+02	7.359e+04	2.713e+02	6.942e+04	2.635e+02	6.429e+04	2.536e+02	5.156e+04	2.271e+02	6.815e+04	2.611e+02
3	5.138e+03	7.168e+01	5.633e+04	2.373e+02	4.543e+04	2.131e+02	6.501e+04	2.550e+02	6.042e+04	2.458e+02	5.316e+04	2.306e+02	4.351e+04	2.086e+02	7.557e+04	2.749e+02	6.984e+04	2.643e+02	6.411e+04	2.532e+02	5.184e+04	2.277e+02	6.810e+04	2.610e+02
4	4.742e+03	6.886e+01	5.606e+04	2.368e+02	4.381e+04	2.093e+02	6.519e+04	2.553e+02	5.944e+04	2.438e+02	5.227e+04	2.286e+02	4.366e+04	2.089e+02	7.575e+04	2.752e+02	7.045e+04	2.654e+02	6.356e+04	2.521e+02	5.197e+04	2.280e+02	6.981e+04	2.642e+02
5	4.630e+03	6.804e+01	5.440e+04	2.332e+02	4.405e+04	2.099e+02	6.522e+04	2.554e+02	5.876e+04	2.424e+02	5.237e+04	2.288e+02	4.266e+04	2.065e+02	7.660e+04	2.768e+02	6.900e+04	2.627e+02	6.471e+04	2.544e+02	5.046e+04	2.246e+02	6.906e+04	2.628e+02
6	4.321e+03	6.573e+01	5.342e+04	2.311e+02	4.315e+04	2.077e+02	6.414e+04	2.533e+02	5.798e+04	2.408e+02	5.048e+04	2.247e+02	4.303e+04	2.074e+02	7.549e+04	2.748e+02	6.754e+04	2.599e+02	6.344e+04	2.519e+02	4.955e+04	2.226e+02	6.777e+04	2.603e+02
7	4.111e+03	6.412e+01	5.143e+04	2.268e+02	4.113e+04	2.028e+02	6.225e+04	2.495e+02	5.713e+04	2.390e+02	5.004e+04	2.237e+02	4.145e+04	2.036e+02	7.294e+04	2.701e+02	6.657e+04	2.580e+02	6.178e+04	2.486e+02	4.844e+04	2.201e+02	6.632e+04	2.575e+02
8	3.774e+03	6.143e+01	5.116e+04	2.262e+02	4.020e+04	2.005e+02	6.078e+04	2.465e+02	5.628e+04	2.372e+02	4.807e+04	2.193e+02	4.006e+04	2.002e+02	7.179e+04	2.679e+02	6.467e+04	2.543e+02	5.999e+04	2.449e+02	4.714e+04	2.171e+02	6.499e+04	2.549e+02
9	3.802e+03	6.166e+01	5.032e+04	2.243e+02	3.847e+04	1.961e+02	5.992e+04	2.448e+02	5.441e+04	2.333e+02	4.719e+04	2.172e+02	3.991e+04	1.998e+02	7.102e+04	2.665e+02	6.387e+04	2.527e+02	5.761e+04	2.400e+02	4.629e+04	2.152e+02	6.309e+04	2.512e+02
10	3.530e+03	5.941e+01	4.974e+04	2.230e+02	3.768e+04	1.941e+02	5.841e+04	2.417e+02	5.381e+04	2.320e+02	4.597e+04	2.144e+02	3.833e+04	1.958e+02	6.873e+04	2.622e+02	6.337e+04	2.517e+02	5.822e+04	2.413e+02	4.495e+04	2.120e+02	6.220e+04	2.494e+02
11	3.603e+03	6.002e+01	4.776e+04	2.185e+02	3.623e+04	1.903e+02	5.709e+04	2.389e+02	5.223e+04	2.285e+02	4.511e+04	2.124e+02	3.771e+04	1.942e+02	6.899e+04	2.627e+02	6.127e+04	2.475e+02	5.625e+04	2.372e+02	4.317e+04	2.078e+02	6.056e+04	2.461e+02
12	3.506e+03	5.921e+01	4.786e+04	2.188e+02	3.579e+04	1.892e+02	5.614e+04	2.369e+02	5.272e+04	2.296e+02	4.446e+04	2.108e+02	3.754e+04	1.938e+02	6.777e+04	2.603e+02	6.140e+04	2.478e+02	5.636e+04	2.374e+02	4.291e+04	2.071e+02	5.931e+04	2.435e+02
13	3.237e+03	5.689e+01	4.729e+04	2.175e+02	3.440e+04	1.855e+02	5.518e+04	2.349e+02	5.190e+04	2.278e+02	4.427e+04	2.104e+02	3.777e+04	1.944e+02	6.723e+04	2.593e+02	6.084e+04	2.466e+02	5.406e+04	2.325e+02	4.216e+04	2.053e+02	5.965e+04	2.442e+02
14	3.342e+03	5.781e+01	4.734e+04	2.176e+02	3.353e+04	1.831e+02	5.526e+04	2.351e+02	5.117e+04	2.262e+02	4.376e+04	2.092e+02	3.673e+04	1.916e+02	6.645e+04	2.578e+02	6.070e+04	2.464e+02	5.437e+04	2.332e+02	4.132e+04	2.033e+02	5.868e+04	2.422e+02
15	2.980e+03	5.459e+01	4.595e+04	2.144e+02	3.267e+04	1.807e+02	5.413e+04	2.326e+02	5.158e+04	2.271e+02	4.309e+04	2.076e+02	3.640e+04	1.908e+02	6.553e+04	2.560e+02	6.008e+04	2.451e+02	5.372e+04	2.318e+02	4.130e+04	2.032e+02	5.808e+04	2.410e+02
16	2.963e+03	5.443e+01	4.564e+04	2.136e+02	3.328e+04	1.824e+02	5.350e+04	2.313e+02	5.072e+04	2.252e+02	4.318e+04	2.078e+02	3.587e+04	1.894e+02	6.537e+04	2.557e+02	5.898e+04	2.428e+02	5.443e+04	2.333e+02	4.003e+04	2.001e+02	5.769e+04	2.402e+02
17	2.977e+03	5.456e+01	4.537e+04	2.130e+02	3.304e+04	1.818e+02	5.296e+04	2.301e+02	5.017e+04	2.240e+02	4.220e+04	2.054e+02	3.558e+04	1.886e+02	6.477e+04	2.545e+02	5.856e+04	2.420e+02	5.211e+04	2.283e+02	3.974e+04	1.993e+02	5.692e+04	2.386e+02
18	2.680e+03	5.177e+01	4.675e+04	2.162e+02	3.260e+04	1.806e+02	5.296e+04	2.301e+02	5.108e+04	2.260e+02	4.293e+04	2.072e+02	3.602e+04	1.898e+02	6.408e+04	2.531e+02	5.977e+04	2.445e+02	5.241e+04	2.289e+02	3.988e+04	1.997e+02	5.700e+04	2.387e+02
19	2.693e+03	5.189e+01	4.532e+04	2.129e+02	3.190e+04	1.786e+02	5.238e+04	2.289e+02	5.073e+04	2.252e+02	4.208e+04	2.051e+02	3.578e+04	1.892e+02	6.429e+04	2.536e+02	5.899e+04	2.429e+02	5.120e+04	2.263e+02	3.977e+04	1.994e+02	5.653e+04	2.378e+02
